beta,lambda_c1,lambda_c2
7.663074028773377844e-01,-2.153589319074611097e-01,2.153589319074611097e-01
7.686657987501116507e-01,-2.120200338704130716e-01,2.120200338704131826e-01
7.694801005353288925e-01,-2.120200336713386480e-01,2.120200336713387590e-01
7.710314528472897999e-01,-2.086811359884176431e-01,2.086811359884177541e-01
7.734043875068613572e-01,-2.053422389924200175e-01,2.053422389924201286e-01
7.757846251355631217e-01,-2.053422372721848410e-01,2.053422372721849520e-01
7.781721882090912867e-01,-2.020033391529739708e-01,2.020033391529740818e-01
7.805670992723131585e-01,-1.986644410602882993e-01,1.986644410602884103e-01
7.829693809394805415e-01,-1.953255430277921201e-01,1.953255430277922311e-01
7.853790558944432343e-01,-1.919866451879205238e-01,1.919866451879206348e-01
7.877961468908628584e-01,-1.886477491310895316e-01,1.886477491310896426e-01
7.902206767524280195e-01,-1.886477464639944868e-01,1.886477464639945978e-01
7.926526683730699130e-01,-1.853088483603798076e-01,1.853088483603798076e-01
7.950921447171781509e-01,-1.819699503057843337e-01,1.819699503057843337e-01
7.975391288198178108e-01,-1.786310524013629275e-01,1.786310524013629275e-01
7.999936437869470396e-01,-1.752921556401143832e-01,1.752921556401143832e-01
8.024557127956349900e-01,-1.752921538044982519e-01,1.752921538044982519e-01
8.025717600533025520e-01,-1.752921537957938536e-01,1.752921537957938536e-01
8.049253590942810899e-01,-1.719532557070733991e-01,1.719532557070733991e-01
8.074026060028338669e-01,-1.686143576731433114e-01,1.686143576731433114e-01
8.098874769130118834e-01,-1.652754598777570749e-01,1.652754598777570749e-01
8.123799952885242259e-01,-1.619365704402785655e-01,1.619365704402785655e-01
8.148801846652921066e-01,-1.619365611714311537e-01,1.619365611714311537e-01
8.173880686516712402e-01,-1.585976631035579398e-01,1.585976631035580509e-01
8.199036709286745550e-01,-1.552587651750245434e-01,1.552587651750246545e-01
8.224270152501960141e-01,-1.519198684994936821e-01,1.519198684994937931e-01
8.249581254432346578e-01,-1.519198666623841065e-01,1.519198666623842175e-01
8.274970254081198684e-01,-1.485809685868922647e-01,1.485809685868923757e-01
8.300437391187371894e-01,-1.452420706385895433e-01,1.452420706385896543e-01
8.325982906227538116e-01,-1.419031738041943713e-01,1.419031738041944823e-01
8.351607040418469463e-01,-1.419031721704474835e-01,1.419031721704475946e-01
8.370865336048836092e-01,-1.385642742504179514e-01,1.385642742504180625e-01
8.377310035719306436e-01,-1.385642741035681691e-01,1.385642741035682801e-01
8.403092134833843874e-01,-1.352253762018490735e-01,1.352253762018491845e-01
8.428953581212828006e-01,-1.318864813452351459e-01,1.318864813452352569e-01
8.454894619056250171e-01,-1.318864776955665785e-01,1.318864776955666895e-01
8.480915493315651643e-01,-1.285475796602413290e-01,1.285475796602413290e-01
8.507016449696445104e-01,-1.252086819591838596e-01,1.252086819591838596e-01
8.533197734660221689e-01,-1.252086813266150012e-01,1.252086813266150012e-01
8.559459595427091338e-01,-1.218697832472956655e-01,1.218697832472956655e-01
8.585802279978008711e-01,-1.185308853083296282e-01,1.185308853083296282e-01
8.612226037057116868e-01,-1.151919895970862778e-01,1.151919895970862778e-01
8.638731116174096503e-01,-1.151919868761763777e-01,1.151919868761763777e-01
8.665317767606524058e-01,-1.118530888640556081e-01,1.118530888640556081e-01
8.691986242402230944e-01,-1.085141914639412286e-01,1.085141914639412286e-01
8.718736792381676093e-01,-1.085141905244506322e-01,1.085141905244506322e-01
8.730856225194147946e-01,-1.051752932863825318e-01,1.051752932863825318e-01
8.745569670140324048e-01,-1.051752924823652763e-01,1.051752924823652763e-01
8.772485129051030839e-01,-1.018363948056628943e-01,1.018363948056630053e-01
8.799483423266434290e-01,-1.018363941839750958e-01,1.018363941839752068e-01
8.826564807721356543e-01,-9.849749613012297178e-02,9.849749613012308280e-02
8.853729538135207688e-01,-9.515859837862386539e-02,9.515859837862397641e-02
8.880977871014403835e-01,-9.515859785142417870e-02,9.515859785142428973e-02
8.908310063654789612e-01,-9.181969979699686202e-02,9.181969979699697304e-02
8.935726374144062900e-01,-8.848080205947576882e-02,8.848080205947587984e-02
8.963227061364216208e-01,-8.848080152570736434e-02,8.848080152570747536e-02
8.990812384993982498e-01,-8.514190348115273366e-02,8.514190348115284468e-02
9.018482605511281003e-01,-8.180300585886958464e-02,8.180300585886969567e-02
9.046237984195683035e-01,-8.180300520730220126e-02,8.180300520730231228e-02
9.074078783130875570e-01,-7.846410718739978141e-02,7.846410718739989243e-02
9.102005265207137041e-01,-7.512520996891780545e-02,7.512520996891780545e-02
9.106328601027524616e-01,-7.512520941267626651e-02,7.512520941267626651e-02
9.130017694123822025e-01,-7.512520889858223527e-02,7.512520889858223527e-02
9.158116334391845914e-01,-7.178631093303977639e-02,7.178631093303977639e-02
9.186301451336188473e-01,-6.844741790309136209e-02,6.844741790309136209e-02
9.214573311098394059e-01,-6.844741260560874285e-02,6.844741260560874285e-02
9.242932180639088502e-01,-6.510851478007319282e-02,6.510851478007319282e-02
9.271378327740498193e-01,-6.510851437295903099e-02,6.510851437295903099e-02
9.299912021008980290e-01,-6.176961634458066897e-02,6.176961634458066897e-02
9.328533529877554020e-01,-5.843071914237095432e-02,5.843071914237095432e-02
9.357243124608453089e-01,-5.843071808384312643e-02,5.843071808384312643e-02
9.386041076295670305e-01,-5.509182017263528769e-02,5.509182017263528769e-02
9.414927656867521089e-01,-5.509181987050888046e-02,5.509181987050888046e-02
9.443903139089210308e-01,-5.175292183193167667e-02,5.175292183193167667e-02
9.472967796565407994e-01,-4.841402451826753994e-02,4.841402451826765096e-02
9.497948248259910908e-01,-4.841402361953152378e-02,4.841402361953163480e-02
9.502121903742832831e-01,-4.841402359091831475e-02,4.841402359091841884e-02
9.531365735912843418e-01,-4.507512570500259858e-02,4.507512570500270960e-02
9.560699569214038407e-01,-4.507512538410300695e-02,4.507512538410311798e-02
9.590123680634863312e-01,-4.173622736899634117e-02,4.173622736899645219e-02
9.619638348016226193e-01,-3.839733116698617471e-02,3.839733116698628573e-02
9.649243850054119997e-01,-3.839732912604400944e-02,3.839732912604412046e-02
9.678940466302259349e-01,-3.505843144038290476e-02,3.505843144038301579e-02
9.708728477174712879e-01,-3.505843091712326776e-02,3.505843091712337878e-02
9.738608163948554441e-01,-3.171953299706310736e-02,3.171953299706321838e-02
9.768579808766522099e-01,-3.171953272444795469e-02,3.171953272444806571e-02
9.798643694639675994e-01,-2.838063471750668088e-02,2.838063471750679190e-02
9.828800105450076208e-01,-2.504174107988643358e-02,2.504174107988654460e-02
9.859049325953461729e-01,-2.504173649114024153e-02,2.504173649114035255e-02
9.889391641781937192e-01,-2.170283920456781562e-02,2.170283920456792665e-02
9.906409583818933662e-01,-2.170283841195407709e-02,2.170283841195418811e-02
9.919827339446672942e-01,-2.170283828873614124e-02,2.170283828873625226e-02
9.950356706340607316e-01,-1.836394057959400000e-02,1.836394057959400000e-02
9.980980030741165576e-01,-1.836394009924462861e-02,1.836394009924462861e-02
1.001169760181297441e+00,-1.502504223886707256e-02,1.502504223886707256e-02
1.004250970961060307e+00,-1.502504191758001310e-02,1.502504191758001310e-02
1.007341664508128565e+00,-1.168614398404379043e-02,1.168614398404378869e-02
1.010441870006768994e+00,-1.168614374109190612e-02,1.168614374109190439e-02
1.013551616731065419e+00,-8.347245766990370186e-03,8.347245766990370186e-03
1.016670934045196262e+00,-8.347245568282158842e-03,8.347245568282158842e-03
1.019799851403710989e+00,-5.008347570369675768e-03,5.008347570369675768e-03
1.022938398351809663e+00,-5.008347398261438384e-03,5.008347398261438384e-03
1.026086604525619617e+00,-1.669449386576852060e-03,1.669449386576851843e-03
1.029244499652477884e+00,-1.669449230494138899e-03,1.669449230494138682e-03
1.032412113551210320e+00,1.669448788038091838e-03,-1.669448788038091621e-03
1.033243688818361150e+00,1.669448849296528963e-03,-1.669448849296529397e-03
1.035589476132412701e+00,5.008324483946557937e-03,-5.008324483946558804e-03
1.038776617398735169e+00,5.008346955158691181e-03,-5.008346955158691181e-03
1.041973567445163784e+00,8.347204395909725572e-03,-8.347204395909725572e-03
1.045180356459304960e+00,8.347245115235235949e-03,-8.347245115235235949e-03
1.048397014721671461e+00,8.347245261596081267e-03,-8.347245261596081267e-03
1.051623572605967283e+00,1.168614326765422470e-02,-1.168614326765422470e-02
1.054860060579374759e+00,1.168614342192991415e-02,-1.168614342192991588e-02
1.058106509202842549e+00,1.502504141047866955e-02,-1.502504141047866955e-02
1.061362949131374300e+00,1.502504158007569521e-02,-1.502504158007569521e-02
1.064629411114317303e+00,1.836393953953658481e-02,-1.836393953953658481e-02
1.067905925995653593e+00,1.836393973553235651e-02,-1.836393973553235651e-02
1.071192524714290828e+00,2.170283764592439990e-02,-2.170283764592428888e-02
1.074489238304354721e+00,2.170283788745519180e-02,-2.170283788745508077e-02
1.077678558967290368e+00,2.504173567519861823e-02,-2.504173567519850721e-02
1.077796097895482363e+00,2.504173570835309046e-02,-2.504173570835297943e-02
1.081113134713114876e+00,2.504173603440456794e-02,-2.504173603440445692e-02
1.084440380078793842e+00,2.838063366236285093e-02,-2.838063366236273991e-02
1.087777865410455957e+00,2.838063417380797676e-02,-2.838063417380786574e-02
1.091125622222730129e+00,3.171953118400287763e-02,-3.171953118400276661e-02
1.094483682127235458e+00,3.171953230066730522e-02,-3.171953230066719420e-02
1.097852076832878776e+00,3.171953241450777006e-02,-3.171953241450765903e-02
1.101230838146154634e+00,3.505843040393759324e-02,-3.505843040393748222e-02
1.104619997971445944e+00,3.505843056093175397e-02,-3.505843056093164295e-02
1.108019588311324632e+00,3.839732845359403179e-02,-3.839732845359392077e-02
1.111429641266854285e+00,3.839732869958185218e-02,-3.839732869958174116e-02
1.114850189037892569e+00,4.173622632956223988e-02,-4.173622632956212886e-02
