beta,lambda_B_r0,lambda_B_r1
8.822784810126582666e-01,-9.979530056555107054e-01,9.979530056555110384e-01
8.835443037974684000e-01,-9.950922098539348726e-01,9.950922098539347616e-01
8.848101265822785333e-01,-9.922494944721899079e-01,9.922494944721903520e-01
8.860759493670886666e-01,-9.894135332207117939e-01,9.894135332207122380e-01
8.873417721518987999e-01,-9.865930617306324368e-01,9.865930617306323258e-01
8.886075949367089333e-01,-9.837821689189739649e-01,9.837821689189738539e-01
8.898734177215190666e-01,-9.809832806634627422e-01,9.809832806634630753e-01
8.911392405063291999e-01,-9.781971211602558114e-01,9.781971211602558114e-01
8.924050632911393333e-01,-9.754197239634571082e-01,9.754197239634576633e-01
8.936708860759493556e-01,-9.726579628206937223e-01,9.726579628206937223e-01
8.949367088607594889e-01,-9.699020886534439612e-01,9.699020886534444053e-01
8.962025316455696222e-01,-9.671642663491734071e-01,9.671642663491731851e-01
8.974683544303797555e-01,-9.644322128463354016e-01,9.644322128463352906e-01
8.987341772151898889e-01,-9.617156038232659299e-01,9.617156038232659299e-01
9.000000000000000222e-01,-9.590070377291340931e-01,9.590070377291340931e-01
9.176470588235294823e-01,-9.223965958443752777e-01,9.223965958443751667e-01
9.352941176470588314e-01,-8.877922353923568544e-01,8.877922353923566323e-01
9.529411764705882915e-01,-8.550509877597858299e-01,8.550509877597857189e-01
9.705882352941176405e-01,-8.240475892126120083e-01,8.240475892126118973e-01
9.882352941176471006e-01,-7.946599504130894553e-01,7.946599504130893443e-01
1.005882352941176450e+00,-7.667846172296264307e-01,7.667846172296260976e-01
1.023529411764705799e+00,-7.403138555710154778e-01,7.403138555710153668e-01
1.041176470588235370e+00,-7.151620471135839985e-01,7.151620471135843315e-01
1.058823529411764719e+00,-6.912456908624250440e-01,6.912456908624251550e-01
1.076470588235294068e+00,-6.684827749270835229e-01,6.684827749270837449e-01
1.094117647058823639e+00,-6.468089155533800483e-01,6.468089155533802703e-01
1.111764705882352988e+00,-6.261526196521680632e-01,6.261526196521678411e-01
1.129411764705882337e+00,-6.064551612709024875e-01,6.064551612709024875e-01
1.147058823529411686e+00,-5.876590268226350444e-01,5.876590268226355995e-01
1.164705882352941257e+00,-5.697127894708956530e-01,5.697127894708958751e-01
1.182352941176470607e+00,-5.525697671874677530e-01,5.525697671874679751e-01
