beta,lambda_c1,lambda_c2
4.746918380477647137e-01,-8.564273796654697790e-01,8.564273796654698900e-01
4.778278381007477482e-01,-8.430717907165120595e-01,8.430717907165120595e-01
4.809845557973556618e-01,-8.330550923758502924e-01,8.330550923758502924e-01
4.841621280064500876e-01,-8.196995016233779019e-01,8.196995016233779019e-01
4.842237650348253930e-01,-8.196995008229109869e-01,8.196995008229109869e-01
4.873606925011018665e-01,-8.096828052206213044e-01,8.096828052206214155e-01
4.905803879645649346e-01,-7.963272161469449051e-01,7.963272161469451271e-01
4.938213539962886256e-01,-7.863105181898862872e-01,7.863105181898862872e-01
4.970837311179712725e-01,-7.762938234063091469e-01,7.762938234063091469e-01
5.003676607796523346e-01,-7.629382315841591877e-01,7.629382315841591877e-01
5.036732853658456577e-01,-7.529215364262239474e-01,7.529215364262240584e-01
5.050479136410024328e-01,-7.495826380600703054e-01,7.495826380600704164e-01
5.070007482017128142e-01,-7.429048417535109028e-01,7.429048417535111248e-01
5.103501935592776872e-01,-7.295492502832839898e-01,7.295492502832839898e-01
5.137217666636813007e-01,-7.195325549457821657e-01,7.195325549457821657e-01
5.171156136994791153e-01,-7.095158602255539071e-01,7.095158602255539071e-01
5.205318818169789585e-01,-6.994991656293433335e-01,6.994991656293434446e-01
5.239707191386205887e-01,-6.861435776565352196e-01,6.861435776565354416e-01
5.267676092989457270e-01,-6.794657768066205694e-01,6.794657768066205694e-01
5.274322747653996668e-01,-6.761268796376104229e-01,6.761268796376104229e-01
5.309166987833302542e-01,-6.661101845947347000e-01,6.661101845947347000e-01
5.344241422699539390e-01,-6.560934898908826751e-01,6.560934898908826751e-01
5.379547573008897077e-01,-6.460767952975136064e-01,6.460767952975137174e-01
5.415086969564274488e-01,-6.360601007575903409e-01,6.360601007575904520e-01
5.450861153281654214e-01,-6.260434062523386745e-01,6.260434062523386745e-01
5.486871675256911329e-01,-6.160267117774558265e-01,6.160267117774558265e-01
5.494213652049015906e-01,-6.126878159255431111e-01,6.126878159255431111e-01
5.523120096833069592e-01,-6.060100173390834399e-01,6.060100173390834399e-01
5.559607989667993966e-01,-5.959933229602961680e-01,5.959933229602961680e-01
5.596336935802537216e-01,-5.859766287148278074e-01,5.859766287148279185e-01
5.633308527729132820e-01,-5.759599349496392628e-01,5.759599349496394849e-01
5.670524368460843068e-01,-5.659432547505984790e-01,5.659432547505984790e-01
5.707986071600860134e-01,-5.592654427379148974e-01,5.592654427379148974e-01
5.730493508235188216e-01,-5.525876466149000077e-01,5.525876466149000077e-01
5.745695261412473442e-01,-5.492487483465626763e-01,5.492487483465626763e-01
5.783653572889488892e-01,-5.392320540811081919e-01,5.392320540811081919e-01
5.821862651827121038e-01,-5.292153605319247500e-01,5.292153605319247500e-01
5.860324154893353787e-01,-5.225375629085099449e-01,5.225375629085101670e-01
5.899039749700766277e-01,-5.125208685657927088e-01,5.125208685657927088e-01
5.938011114878840591e-01,-5.025041745976673857e-01,5.025041745976673857e-01
5.976934631160329969e-01,-4.958263775894787284e-01,4.958263775894787284e-01
5.977239940146739094e-01,-4.958263775829737652e-01,4.958263775829737652e-01
6.016727926386575831e-01,-4.858096832808223575e-01,4.858096832808224685e-01
6.056476785717150868e-01,-4.757929899588368983e-01,4.757929899588370093e-01
6.096488241568195354e-01,-4.691151923390182721e-01,4.691151923390183831e-01
6.136764028755090639e-01,-4.590984983707940836e-01,4.590984983707940836e-01
6.177305893554089211e-01,-4.524207014785192604e-01,4.524207014785192604e-01
6.218115593778024142e-01,-4.424040074339115614e-01,4.424040074339115614e-01
6.233974008316337523e-01,-4.390651093577455644e-01,4.390651093577455644e-01
6.259194898852530331e-01,-4.357262106578368988e-01,4.357262106578368988e-01
